Comment,Designator,Package,Quantity,LCSC
D,"D34,D60,D9,D57,D42,D65,D35,D21,D76,D10,D28,D56,D74,D58,D32,D61,D50,D17,D46,D48,D6,D52,D41,D38,D51,D7,D54,D19,D23,D63,D8,D69,D14,D33,D43,D78,D16,D55,D3,D22,D24,D44,D36,D82,D81,D15,D53,D75,D12,D68,D80,D49,D29,D67,D11,D77,D71,D79,D66,D70,D31,D25,D73,D62,D37,D13,D59,D18,D83,D26,D30,D5,D45,D72,D2,D47,D39,D4,D40,D27,D64,D20",D_SOD-123,82,C81598
22p,"C7,C5",C_0805_2012Metric,2,C1804
10k,"R4,R3",R_0805_2012Metric,2,C17414
22,"R2,R1",R_0805_2012Metric,2,C17561
5.1k,"R6,R5",R_0603_1608Metric,2,C27834
16MHz,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,1,C13738
500mA,F1,Fuse_1206_3216Metric,1,C70076
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,C45874
1u,C6,C_0805_2012Metric,1,C28323
PRTR5V0U2X,D1,SOT-143,1,C2827688
0.1u,"C1,C3,C2",C_0805_2012Metric,3,C49678
10u,C4,C_0805_2012Metric,1,C15850
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,1,C165948
